Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Lucky Store],Price [Lucky Store],In stock [Lucky Store],Low stock [Lucky Store]
sunsilk-shampoo-thick-long-170ml,PER-SUNS-SHAM-170ML,Sunsilk Shampoo Thick & Long 170ml,Personal Care,Shampoo 170ml,N,,,,,,,158.14,,,,Y,Y,185.0,3,5
sunsilk-shampoo-black-shine-80ml,PER-SUNS-SHAM-80ML,Sunsilk Shampoo Black Shine 80ml,Personal Care,Shampoo 80ml,N,,,,,,,79.3,,,,Y,Y,95.0,3,5
sunsilk-hairfall-solution-340ml,PER-SUNS-HAIR-340ML,Sunsilk Hairfall Solution 340ml,Personal Care,Shampoo 340ml,N,,,,,,,307.13,,,,Y,Y,355.0,2,5
sunsilk-shampoo-onion-375ml,PER-SUNS-SHAM-375ML,Sunsilk Shampoo Onion 375ml,Personal Care,Shampoo 375ml,N,,,,,,,364.27,,,,Y,Y,418.9,2,5
sunsilk-conditioner-hair-fall-solution-180ml,PER-SUNS-COND-180ML,Sunsilk Conditioner Hair Fall Solution 180ml,Personal Care,Shampoo 180ml,N,,,,,,,176.21,,,,Y,Y,200.0,3,5
sunsilk-shampoo-volume-375ml,PER-SUNS-SHAM-375ML-1,Sunsilk Shampoo Volume 375ml,Personal Care,Shampoo 375ml,N,,,,,,,364.24,,,,Y,Y,420.0,2,5
clear-shampoo-complete-active-care-5-5ml,PER-CLEA-SHAM-5.5ML,Clear Shampoo Complete Active Care 5.5ml,Personal Care,Shampoo 5.5ml,N,,,,,,,3.43,,,,Y,Y,3.9,36,5
clear-shampoo-anti-hair-fall-330ml,PER-CLEA-SHAM-330ML,Clear Shampoo Anti Hair Fall 330ml,Personal Care,Shampoo 330ml,N,,,,,,,347.49,,,,Y,Y,400.0,2,5
clear-shampoo-complete-active-care-170ml,PER-CLEA-SHAM-170ML,Clear Shampoo Complete Active Care 170ml,Personal Care,Shampoo 170ml,N,,,,,,,207.5,,,,Y,Y,235.0,3,5
clear-shampoo-complete-active-care-330ml,PER-CLEA-SHAM-330ML-1,Clear Shampoo Complete Active Care 330ml,Personal Care,Shampoo 330ml,N,,,,,,,347.4,,,,Y,Y,400.0,2,5
clear-shampoo-cool-sport-menthol-5ml,PER-CLEA-SHAM-5ML,Clear Shampoo Cool Sport Menthol 5ml,Personal Care,Shampoo 5ml,N,,,,,,,4.29,,,,Y,Y,5.0,72,5
clear-shampoo-cool-sport-menthol-170ml,PER-CLEA-SHAM-170ML-1,Clear Shampoo Cool Sport Menthol 170ml,Personal Care,Shampoo 170ml,N,,,,,,,230.49,,,,Y,Y,265.0,3,5
clear-shampoo-cool-sport-menthol-330ml,PER-CLEA-SHAM-330ML-2,Clear Shampoo Cool Sport Menthol 330ml,Personal Care,Shampoo 330ml,N,,,,,,,425.82,,,,Y,Y,490.0,3,5
clear-shampoo-cool-sport-menthol-80ml,PER-CLEA-SHAM-80ML,Clear Shampoo Cool Sport Menthol 80ml,Personal Care,Shampoo 80ml,N,,,,,,,103,,,,Y,Y,120.0,3,5
dove-shampoo-intensive-repair-6ml,PER-DOVE-SHAM-6ML,Dove Shampoo Intensive Repair 6ml,Personal Care,Shampoo 6ml,N,,,,,,,3.43,,,,Y,Y,5.0,36,5
dove-shampoo-hairfall-rescue-6ml,PER-DOVE-SHAM-6ML-1,Dove Shampoo Hairfall Rescue 6ml,Personal Care,Shampoo 6ml,N,,,,,,,3.43,,,,Y,Y,5.0,36,5
dove-conditioner-intensive-repair-7ml,PER-DOVE-COND-7ML,Dove Conditioner Intensive Repair 7ml,Personal Care,Conditioner 7ml,N,,,,,,,4.29,,,,Y,Y,5.0,36,5
dove-shampoo-hairfall-rescue-170ml,PER-DOVE-SHAM-170ML,Dove Shampoo Hairfall Rescue 170ml,Personal Care,Shampoo 170ml,N,,,,,,,171.2,,,,Y,Y,200.0,2,5
dove-shampoo-intensive-repair-170ml,PER-DOVE-SHAM-170ML-1,Dove Shampoo Intensive Repair 170ml,Personal Care,Shampoo 170ml,N,,,,,,,171.2,,,,Y,Y,200.0,2,5
dove-shampoo-intensive-repair-330ml,PER-DOVE-SHAM-330ML,Dove Shampoo Intensive Repair 330ml,Personal Care,Shampoo 330ml,N,,,,,,,376.33,,,,Y,Y,435.0,2,5
dove-shampoo-nourishing-oil-170ml,PER-DOVE-SHAM-170ML-2,Dove Shampoo Nourishing Oil 170ml,Personal Care,Oil 170ml,N,,,,,,,171.2,,,,Y,Y,200.0,2,5
dove-conditioner-hairfall-rescue-170ml,PER-DOVE-COND-170ML,Dove Conditioner Hairfall Rescue 170ml,Personal Care,Conditioner 170ml,N,,,,,,,232,,,,Y,Y,265.0,2,5
dove-shampoo-oxygen-moisture-330ml,PER-DOVE-SHAM-330ML-1,Dove Shampoo Oxygen Moisture 330ml,Personal Care,Shampoo 330ml,N,,,,,,,376.33,,,,Y,Y,435.0,2,5
dove-conditioner-intensive-repair-50ml,PER-DOVE-COND-50ML,Dove Conditioner Intensive Repair 50ml,Personal Care,Conditoner 50ml,N,,,,,,,24,,,,Y,Y,30.0,2,5
dove-shampoo-intensive-repair-330ml-1,PER-DOVE-SHAM-330ML-2,Dove Shampoo Intensive Repair 330ml,Personal Care,Shampoo 330ml,N,,,,,,,376.33,,,,Y,Y,435.0,2,5
tresemme-shampoo-color-revitalized-580ml,PER-TRES-SHAM-580ML,Tresemme Shampoo Color Revitalized 580ml,Personal Care,Shampoo 580ml,N,,,,,,,602.5,,,,Y,Y,700.0,1,5
tresemme-shampoo-keratin-smooth-340ml,PER-TRES-SHAM-340ML,Tresemme Shampoo Keratin Smooth 340ml,Personal Care,Shampoo 340ml,N,,,,,,,458.1,,,,Y,Y,525.0,1,5
tresemme-shampoo-keratin-smooth-185ml,PER-TRES-SHAM-185ML,Tresemme Shampoo Keratin Smooth 185ml,Personal Care,Shampoo 185ml,N,,,,,,,298.58,,,,Y,Y,345.0,1,5
tresemme-keratin-190ml,PER-TRES-KERA-190ML,Tresemme Keratin 190ml,Personal Care,Conditioner 190ml,N,,,,,,,256,,,,Y,Y,300.0,1,5
pond-oil-control-50g,PER-POND-OILX-50G,Pond Oil Control 50g,Personal Care,Facewash 50g,N,,,,,,,75.02,,,,Y,Y,85.0,1,5
ponds-white-beauty-50g,PER-POND-WHIT-50G,Ponds White Beauty 50g,Personal Care,Facewash 50g,N,,,,,,,90.75,,,,Y,Y,100.0,1,5
ponds-pure-white-100g,PER-POND-PURE-100G,Ponds Pure White 100g,Personal Care,Facewash 100g,N,,,,,,,156.34,,,,Y,Y,180.0,2,5
ponds-white-beauty-100g,PER-POND-WHIT-100G,Ponds White Beauty 100g,Personal Care,Facewash 100g,N,,,,,,,157,,,,Y,Y,180.0,2,5
ponds-pure-white-50g,PER-POND-PURE-50G,Ponds Pure White 50g,Personal Care,Facewash 50g,N,,,,,,,94,,,,Y,Y,110.0,1,5
ponds-oil-control-100g,PER-POND-OILX-100G,Ponds Oil Control 100g,Personal Care,Facewash 100g,N,,,,,,,157,,,,Y,Y,180.0,2,5
pond-daily-100g,PER-POND-DAIL-100G,Pond Daily 100g,Personal Care,Facewash 100g,N,,,,,,,135,,,,Y,Y,155.0,2,5
ponds-light-50ml,PER-POND-LIGH-50ML,Ponds Light 50ml,Personal Care,Moisturizer 50ml,N,,,,,,,160,,,,Y,Y,185.0,3,5
ponds-superlight-gel-50ml,PER-POND-SUPE-50ML,Ponds Superlight Gel 50ml,Personal Care,,N,,,,,,,160,,,,Y,Y,185.0,3,5
ponds-superlight-gel-100ml,PER-POND-SUPE-100ML,Ponds Superlight Gel 100ml,Personal Care,,N,,,,,,,271.99,,,,Y,Y,310.0,3,5
ponds-daily-50g,PER-POND-DAIL-50G,Ponds Daily 50g,Personal Care,Facewash,N,,,,,,,72,,,,Y,Y,85.0,1,5
ponds-skin-cream-white-beauty-35g,PER-POND-SKIN-35G,Ponds Skin Cream White Beauty 35g,Personal Care,Cream 35g,N,,,,,,,215,,,,Y,Y,250.0,3,5
ponds-bright-beauty-50g,PER-POND-BRIG-50G,Ponds Bright Beauty 50g,Personal Care,Cream 50g,N,,,,,,,355,,,,Y,Y,410.0,3,5
lifebouy-liquid-total-200ml,PER-LIFE-LIQU-200ML,Lifebouy Liquid Total 200ml,Personal Care,Handwash 200ml,N,,,,,,,105.52,,,,Y,Y,125.0,4,5
lifebouy-liquid-care-170ml,PER-LIFE-LIQU-170ML,Lifebouy Liquid Care 170ml,Personal Care,Handwash 170ml,N,,,,,,,78.8,,,,Y,Y,90.0,18,5
lifebouy-health-care-150g,PER-LIFE-HEAL-150G,Lifebouy Health Care 150g,Personal Care,Soap 150g,N,,,,,,,73.46,,,,Y,Y,85.0,24,5
lifebouy-health-care-90g,PER-LIFE-HEAL-90G,Lifebouy Health Care 90g,Personal Care,Soap 90g,N,,,,,,,49.15,,,,Y,Y,60.0,24,5
lifebouy-liquid-lemon-fresh-200ml,PER-LIFE-LIQU-200ML-1,Lifebouy Liquid Lemon Fresh 200ml,Personal Care,Handwash 200ml,N,,,,,,,105.52,,,,Y,Y,120.0,4,5
lifebouy-liquid-handwash-care-200g,PER-LIFE-LIQU-200G,Lifebouy Liquid Handwash Care 200g,Personal Care,Handwash 200ml,N,,,,,,,105.52,,,,Y,Y,120.0,4,5
lifebouy-liquid-lemon-fresh-170ml,PER-LIFE-LIQU-170ML-1,Lifebouy Liquid Lemon Fresh 170ml,Personal Care,Handwash 200ml,N,,,,,,,78.8,,,,Y,Y,90.0,18,5
lifebouy-health-soap-lemon-fresh-150g,PER-LIFE-HEAL-150G-1,Lifebouy Health Soap Lemon Fresh 150g,Personal Care,Soap 150g,N,,,,,,,73.46,,,,Y,Y,85.0,24,5
lifebouy-health-soap-total-90g,PER-LIFE-HEAL-90G-1,Lifebouy Health Soap Total 90g,Personal Care,Soap 90g,N,,,,,,,49.15,,,,Y,Y,55.0,24,5
lifebouy-health-soap-lemon-fresh-90g,PER-LIFE-HEAL-90G-2,Lifebouy Health Soap Lemon Fresh 90g,Personal Care,Soap 90g,N,,,,,,,49.15,,,,Y,Y,55.0,24,5
lifebouy-health-soap-total-150g,PER-LIFE-HEAL-150G-2,Lifebouy Health Soap Total 150g,Personal Care,Soap 150g,N,,,,,,,73.46,,,,Y,Y,85.0,24,5
lux-soap-velvet-touch-90g,PER-LUXX-SOAP-90G,Lux Soap Velvet Touch 90g,Personal Care,Soap 90g,N,,,,,,,53.52,,,,Y,Y,60.0,54,5
lux-soap-soft-touch-75g,PER-LUXX-SOAP-75G,Lux Soap Soft Touch 75g,Personal Care,Soap 90g,N,,,,,,,44.21,,,,Y,Y,50.0,54,5
lux-soap-soft-touch-90g,PER-LUXX-SOAP-90G-1,Lux Soap Soft Touch 90g,Personal Care,Soap 90g,N,,,,,,,53.52,,,,Y,Y,60.0,54,5
lux-soap-velvet-touch-150g,PER-LUXX-SOAP-150G,Lux Soap Velvet Touch 150g,Personal Care,Soap 150g,N,,,,,,,80.2,,,,Y,Y,90.0,33,5
lux-soap-velvet-touch-75g,PER-LUXX-SOAP-75G-1,Lux Soap Velvet Touch 75g,Personal Care,Soap 75g,N,,,,,,,44.21,,,,Y,Y,50.0,54,5
lux-soap-soft-touch-150g,PER-LUXX-SOAP-150G-1,Lux Soap Soft Touch 150g,Personal Care,Soap 150g,N,,,,,,,80.2,,,,Y,Y,90.0,36,5
lux-soap-soft-touch-25g,PER-LUXX-SOAP-25G,Lux Soap Soft Touch 25g,Personal Care,Soap 25g,N,,,,,,,12.81,,,,Y,Y,15.0,72,5
dove-cream-bar-135g,PER-DOVE-CREA-135G,Dove Cream Bar 135g,Personal Care,Soap 135g,N,,,,,,,129.98,,,,Y,Y,150.0,6,5
dove-cream-pink-bar-135g,PER-DOVE-CREA-135G-1,Dove Cream Pink Bar 135g,Personal Care,Soap 135g,N,,,,,,,129.98,,,,Y,Y,150.0,6,5
dove-cream-bar-90g,PER-DOVE-CREA-90G,Dove Cream Bar 90g,Personal Care,Soap 90g,N,,,,,,,99.01,,,,Y,Y,115.0,6,5
dove-cream-pink-bar-90g,PER-DOVE-CREA-90G-1,Dove Cream Pink Bar 90g,Personal Care,Soap 25g,N,,,,,,,99.01,,,,Y,Y,115.0,6,5
dove-cream-bar-50g,PER-DOVE-CREA-50G,Dove Cream Bar 50g,Personal Care,Soap 25g,N,,,,,,,57,,,,Y,Y,65.0,6,5
boost-standard-jar-400g,BEV-BOOS-STAN-400G,Boost Standard Jar 400g,Beverages,Powdered Drink 400g,N,,,,,,,514.02,,,,Y,Y,600.0,6,5
maltova-400g,BEV-MALT-GXXX-400G,Maltova 400g,Beverages,Powdered Drink 400g,N,,,,,,,514.02,,,,Y,Y,600.0,6,5
horlicks-pouch-400g,BEV-HORL-POUC-400G,Horlicks Pouch 400g,Beverages,Powdered Drink 350g,N,,,,,,,327.1,,,,Y,Y,375.0,6,5
mother-horlicks-350g,BEV-MOTH-HORL-350G,Mother Horlicks 350g,Beverages,Powdered Drink 350g,N,,,,,,,579.44,,,,Y,Y,670.0,3,5
junior-horlicks-stage-ii-500g,BEV-JUNI-HORL-500G,Junior Horlicks Stage II 500g,Beverages,Powdered Drink 500g,N,,,,,,,514.02,,,,Y,Y,590.0,3,5
junior-horlicks-stage-i-500g,BEV-JUNI-HORL-500G-1,Junior Horlicks Stage I 500g,Beverages,Powdered Drink 500g,N,,,,,,,514.02,,,,Y,Y,590.0,3,5
standard-horlicks-jar-1000g,BEV-STAN-HORL-1000G,Standard Horlicks Jar 1000g,Beverages,Powdered Drink 1000g,N,,,,,,,840.02,,,,Y,Y,960.0,6,5
standard-horlicks-jar-250g,BEV-STAN-HORL-250G,Standard Horlicks Jar 250g,Beverages,Powdered Drink 250g,N,,,,,,,263.01,,,,Y,Y,300.0,6,5
standard-horlicks-jar-18g,BEV-STAN-HORL-18G,Standard Horlicks Jar 18g,Beverages,Powdered Drink 18g,N,,,,,,,18,,,,Y,Y,20.0,36,5
standard-horlicks-jar-500g,BEV-STAN-HORL-500G,Standard Horlicks Jar 500g,Beverages,Powdered Drink 500g,N,,,,,,,467.98,,,,Y,Y,540.0,6,5
go-handsome-facewash-men-100g,PER-GOXX-HAND-100G,Go & Handsome Facewash Men 100g,Personal Care,Facewash 100g,N,,,,,,,146.09,,,,Y,Y,168.0,2,5
go-handsome-facewash-men-50g,PER-GOXX-HAND-50G,Go & Handsome Facewash Men 50g,Personal Care,Facewash 50g,N,,,,,,,146.09,,,,Y,Y,168.0,2,5
go-handsome-skin-cream-men-25g,PER-GOXX-HAND-25G,Go & Handsome Skin Cream Men 25g,Personal Care,Cream 25g,N,,,,,,,112,,,,Y,Y,130.0,2,5
go-handsome-skin-cream-men-50g,PER-GOXX-HAND-50G-1,Go & Handsome Skin Cream Men 50g,Personal Care,Cream 50g,N,,,,,,,92.89,,,,Y,Y,105.0,2,5
knorr-soup-31g,PAC-KNOR-SOUP-31G,Knorr Soup 31g,Packaged Food,Packet Soup 31g,N,,,,,,,143.7,,,,Y,Y,165.0,2,5
knorr-soup-chicken-corn-24g,PAC-KNOR-SOUP-24G,Knorr Soup Chicken Corn 24g,Packaged Food,Packet Soup 24g,N,,,,,,,49.55,,,,Y,Y,60.0,12,5
knorr-soup-thai-28g,PAC-KNOR-SOUP-28G,Knorr Soup Thai 28g,Packaged Food,Packet Soup 28g,N,,,,,,,49.55,,,,Y,Y,60.0,12,5
close-up-toothpaste-sea-salt-140g,PER-CLOS-UPXX-140G,Close Up Toothpaste Sea Salt 140g,Personal Care,Toothpaste 140g,N,,,,,,,149.25,,,,Y,Y,170.0,6,5
close-up-menthol-fresh-toothpaste-85g,PER-CLOS-UPXX-85G,Close Up Menthol Fresh Toothpaste 85g,Personal Care,Toothpaste 85g,N,,,,,,,92.09,,,,Y,Y,105.0,6,5
close-up-menthol-fresh-toothpaste-38g,PER-CLOS-UPXX-38G,Close Up Menthol Fresh Toothpaste 38g,Personal Care,Toothpaste 38g,N,,,,,,,44.25,,,,Y,Y,50.0,12,5
close-up-menthol-fresh-toothpaste-145g,PER-CLOS-UPXX-145G,Close Up Menthol Fresh Toothpaste 145g,Personal Care,Toothpaste 145g,N,,,,,,,136.07,,,,Y,Y,155.0,12,5
close-up-menthol-fresh-toothpaste-7g,PER-CLOS-UPXX-7G,Close Up Menthol Fresh Toothpaste 7g,Personal Care,Toothpaste 7g,N,,,,,,,2.46,,,,Y,Y,5.0,12,5
lifebouy-liquid-lemon-fresh-170ml-1,PER-LIFE-LIQU-170ML-2,Lifebouy Liquid Lemon Fresh 170ml,Personal Care,Liquid Soap 170ml,N,,,,,,,78.8,,,,Y,Y,90.0,4,5
lifebouy-soap-lemon-fresh-150g,PER-LIFE-SOAP-150G,Lifebouy Soap Lemon Fresh 150g,Personal Care,Soap 150g,N,,,,,,,73.46,,,,Y,Y,85.0,9,5
lifebouy-hand-soap-total-90g,PER-LIFE-HAND-90G,Lifebouy Hand Soap Total 90g,Personal Care,Soap 90g,N,,,,,,,49.15,,,,Y,Y,60.0,9,5
lux-soap-soft-touch-75g-1,PER-LUXX-SOAP-75G-2,Lux Soap Soft Touch 75g,Personal Care,Soap 75g,N,,,,,,,44.21,,,,Y,Y,50.0,18,5
lux-soap-velvet-touch-150g-1,PER-LUXX-SOAP-150G-2,Lux Soap Velvet Touch 150g,Personal Care,Soap 150g,N,,,,,,,80.2,,,,Y,Y,90.0,9,5
wheel-fabric-solutions-laundry-soap-125g,CLE-WHEE-FABR-125G,Wheel Fabric Solutions Laundry Soap 125g,Cleaning Supply,rice,N,,,,,,,26.55,,,,Y,Y,30.0,106,5
wheel-fabric-solutions-clean-and-fresh-200g,CLE-WHEE-FABR-200G,Wheel Fabric Solutions Clean and Fresh 200g,Cleaning Supply,Laundry Soap 200g,N,,,,,,,27.55,,,,Y,Y,30.0,72,5
rin-power-white-200g,CLE-RINX-POWE-200G,Rin Power White 200g,Cleaning Supply,Laundry Soap 200g,N,,,,,,,36.67,,,,Y,Y,45.0,6,5
rin-fabric-solution-power-bright-500g,CLE-RINX-FABR-500G,Rin Fabric Solution Power Bright 500g,Cleaning Supply,Laundry Soap 500g,N,,,,,,,80.51,,,,Y,Y,90.0,54,5
rin-fabric-solution-liquid-400ml,CLE-RINX-FABR-400ML,Rin Fabric Solution Liquid 400ml,Cleaning Supply,Laundry Liquid 400ml,N,,,,,,,100,,,,Y,Y,115.0,12,5
rin-powder-power-bright-1kg,CLE-RINX-POWD-1KG,Rin Powder Power Bright 1kg,Cleaning Supply,Laundry Soap 1kg,N,,,,,,,165.25,,,,Y,Y,190.0,30,5
surf-excel-180g,CLE-SURF-EXCE-180G,Surf Excel 180g,Cleaning Supply,Laundry Powder 180g,N,,,,,,,45,,,,Y,Y,50.0,12,5
surf-excel-500g,CLE-SURF-EXCE-500G,Surf Excel 500g,Cleaning Supply,Laundry Powder 500g,N,,,,,,,108.11,,,,Y,Y,125.0,60,5
surf-excel-1000g,CLE-SURF-EXCE-1000G,Surf Excel 1000g,Cleaning Supply,Laundry Powder 1000g,N,,,,,,,211,,,,Y,Y,240.0,30,5
surf-excel-matic-liquid-top-1l,CLE-SURF-EXCE-1L,Surf Excel Matic Liquid Top 1L,Cleaning Supply,Laundry Liquid 1L,N,,,,,,,333.33,,,,Y,Y,380.0,12,5
surf-excel-matic-liquid-top-500ml,CLE-SURF-EXCE-500ML,Surf Excel Matic Liquid Top 500ml,Cleaning Supply,Laundry Liquid 500ml,N,,,,,,,175,,,,Y,Y,200.0,12,5
surf-excel-fabric-solution-quick-wash-18g,CLE-SURF-EXCE-18G,Surf Excel Fabric Solution Quick Wash 18g,Cleaning Supply,Laundry Soap 18g,N,,,,,,,4.5,,,,Y,Y,5.0,36,5
vim-dish-washing-bar-125g,CLE-VIMX-DISH-125G,Vim Dish Washing Bar 125g,Cleaning Supply,Dishwashing Bar 125g,N,,,,,,,13.5,,,,Y,Y,16.0,90,5
vim-dish-washing-bar-300g,CLE-VIMX-DISH-300G,Vim Dish Washing Bar 300g,Cleaning Supply,Dishwashing Bar 300g,N,,,,,,,35.95,,,,Y,Y,40.0,72,5
vim-dish-washing-liquid-200ml,CLE-VIMX-DISH-200ML,Vim Dish Washing Liquid 200ml,Cleaning Supply,Dishwashing Liquid 200ml,N,,,,,,,44.23,,,,Y,Y,50.0,36,5
vim-dish-washing-liquid-475ml,CLE-VIMX-DISH-475ML,Vim Dish Washing Liquid 475ml,Cleaning Supply,Dishwashing Liquid 475ml,N,,,,,,,115,,,,Y,Y,135.0,24,5
vim-dish-washing-liquid-1l,CLE-VIMX-DISH-1L,Vim Dish Washing Liquid 1L,Cleaning Supply,Dishwashing Liquid 1L,N,,,,,,,207.83,,,,Y,Y,240.0,6,5
vim-dish-washing-powder-500g,CLE-VIMX-DISH-500G,Vim Dish Washing Powder 500g,Cleaning Supply,Dishwashing Powder 500g,N,,,,,,,45,,,,Y,Y,55.0,12,5
domex-750ml,CLE-DOME-MLXX-750ML,Domex 750ml,Cleaning Supply,Dishwashing Liquid 750ml,N,,,,,,,149.84,,,,Y,Y,175.0,6,5
domex-500ml,CLE-DOME-MLXX-500ML,Domex 500ml,Cleaning Supply,Dishwashing Liquid 500ml,N,,,,,,,113,,,,Y,Y,130.0,6,5
glucose-350g,BEV-GLUC-GXXX-350G,Glucose 350g,Beverages,Powdered Drink 350g,N,,,,,,,117,,,,Y,Y,135.0,6,5
glucose-mini,BEV-GLUC-MINI,Glucose mini,Beverages,Powdered Drink,N,,,,,,,110,,,,Y,Y,125.0,6,5
energy-plus-standard-pack,BIS-ENER-PLUS,Energy Plus - Standard Pack,Biscuits & Cookies,,N,,,,,,,13,,,,Y,Y,15.0,24,5
tip-standard-pack,BIS-TIPX-STAN,Tip -Standard Pack,Biscuits & Cookies,,N,,,,,,,13,,,,Y,Y,15.0,24,5
digestive-standard-pack,BIS-DIGE-STAN,Digestive -Standard Pack,Biscuits & Cookies,,N,,,,,,,25,,,,Y,Y,30.0,36,5
nutty-standard-pack,BIS-NUTT-STAN,Nutty - Standard Pack,Biscuits & Cookies,,N,,,,,,,13,,,,Y,Y,15.0,24,5
solecti-cookies-standard-pack,BIS-SOLE-COOK,Solecti Cookies - Standard Pack,Biscuits & Cookies,Check the name,N,,,,,,,16,,,,Y,Y,20.0,24,5
orange-biscuit-standard-pack,BIS-ORAN-BISC,Orange Biscuit - Standard Pack,Biscuits & Cookies,"(price written 4*24 but charged 8*24, please check with supplier)",N,,,,,,,4,,,,Y,Y,5.0,24,5
chocolate-plus-classic-pack,BIS-CHOC-PLUS,Chocolate Plus - Classic Pack,Biscuits & Cookies,,N,,,,,,,8,,,,Y,Y,10.0,24,5
milk-plus-classic-pack,BIS-MILK-PLUS,Milk Plus - Classic Pack,Biscuits & Cookies,,N,,,,,,,8,,,,Y,Y,10.0,24,5
hello-cookies-classic-pack,BIS-HELL-COOK,Hello Cookies - Classic Pack,Biscuits & Cookies,,N,,,,,,,8,,,,Y,Y,10.0,24,5
bourbon-cookies-classic-pack,BIS-BOUR-COOK,Bourbon Cookies -Classic Pack,Biscuits & Cookies,,N,,,,,,,115,,,,Y,Y,130.0,8,5
energy-plus-family-pack,BIS-ENER-PLUS-1,Energy Plus - Family Pack,Biscuits & Cookies,Check these products if Price & Quantity is matching,N,,,,,,,42,,,,Y,Y,50.0,9,5
tip-family-pack,BIS-TIPX-FAMI,Tip - Family Pack,Biscuits & Cookies,,N,,,,,,,50,,,,Y,Y,60.0,8,5
nutty-family-pack,BIS-NUTT-FAMI,Nutty - Family Pack,Biscuits & Cookies,,N,,,,,,,42,,,,Y,Y,50.0,8,5
milk-mary-family-pack,BIS-MILK-MARY,Milk Mary - Family Pack,Biscuits & Cookies,,N,,,,,,,42,,,,Y,Y,50.0,8,5
lexus-family-pack,BIS-LEXU-FAMI,Lexus - Family Pack,Biscuits & Cookies,,N,,,,,,,20,,,,Y,Y,25.0,70,5
