name,description,brand,gtin,barcode,price,sale_price,cost,category,supplier,image_url,availability,quantity,search_text
Foodie Masala Noodles 12 Pack,Foodie Masala Noodles 12 Pack,Olympic Industries Limited,,LS-000339,170.0,170.0,154.0,Packaged Food,Olympic Industries Limited,,in_stock,8,foodie masala noodles 12 pack olympic industries limited packaged food
Foodie Masala Noodles 8 pack. Quick and delicious masala noodles.,Foodie Masala Noodles 8 pack. Quick and delicious masala noodles.,Olympic Industries Limited,,LS-000340,120.0,120.0,105.0,Packaged Food,Olympic Industries Limited,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6655ae7c0e5834e013de5518_Olympic-Foodie-Instant-Masala-Noodles-496gm-Buy2-Get1-Free_1_415.webp,in_stock,12,foodie masala noodles 8 pack olympic industries limited packaged food
Hello Cookies - Classic Pack,Hello Cookies - Classic Pack,Olympic Industries Limited,,LS-000341,10.0,10.0,8.0,Biscuits & Cookies,Olympic Industries Limited,,in_stock,24,hello cookies - classic pack olympic industries limited biscuits & cookies
Hello Cookies - Family Pack,Hello Cookies - Family Pack,Olympic Industries Limited,,LS-000342,50.0,50.0,42.0,Biscuits & Cookies,Olympic Industries Limited,,in_stock,8,hello cookies - family pack olympic industries limited biscuits & cookies
1 Carton,1 Carton,Olympic Industries Limited,,LS-000343,15.0,800.0,741.0,Chocolates & Candies,Olympic Industries Limited,,in_stock,1,knock chocolate cream olympic industries limited chocolates & candies
1 Carton,1 Carton,Olympic Industries Limited,,LS-000344,15.0,800.0,741.0,Chocolates & Candies,Olympic Industries Limited,,in_stock,1,knock milk cream olympic industries limited chocolates & candies
1 Carton,1 Carton,Olympic Industries Limited,,LS-000345,15.0,800.0,741.0,Chocolates & Candies,Olympic Industries Limited,,in_stock,1,knock strawberry cream olympic industries limited chocolates & candies
1 Jar,1 Jar,Olympic Industries Limited,,LS-000346,2.0,350.0,300.0,Chocolates & Candies,Olympic Industries Limited,,in_stock,2,kopi - candy olympic industries limited chocolates & candies
Lexus - Family Pack,Lexus - Family Pack,Olympic Industries Limited,,LS-000347,100.0,25.0,20.0,Biscuits & Cookies,Olympic Industries Limited,,in_stock,70,lexus - family pack olympic industries limited biscuits & cookies
Milk Mary - Family Pack,Milk Mary - Family Pack,Olympic Industries Limited,,LS-000348,50.0,50.0,42.0,Biscuits & Cookies,Olympic Industries Limited,,in_stock,8,milk mary - family pack olympic industries limited biscuits & cookies
Milk Plus Classic Pack. Milky and sweet biscuits.,Milk Plus Classic Pack. Milky and sweet biscuits.,Olympic Industries Limited,,LS-000349,10.0,10.0,8.0,Biscuits & Cookies,Olympic Industries Limited,,in_stock,24,milk plus - classic pack olympic industries limited biscuits & cookies
Nutty - Family Pack,Nutty - Family Pack,Olympic Industries Limited,,LS-000350,50.0,50.0,42.0,Biscuits & Cookies,Olympic Industries Limited,,in_stock,8,nutty - family pack olympic industries limited biscuits & cookies
Nutty - Standard Pack,Nutty - Standard Pack,Olympic Industries Limited,,LS-000351,15.0,15.0,13.0,Biscuits & Cookies,Olympic Industries Limited,,in_stock,24,nutty - standard pack olympic industries limited biscuits & cookies
Orange Biscuit - Family Pack,Orange Biscuit - Family Pack,Olympic Industries Limited,,LS-000352,40.0,40.0,33.0,Biscuits & Cookies,Olympic Industries Limited,,in_stock,6,orange biscuit - family pack olympic industries limited biscuits & cookies
Orange Biscuit Standard Pack. Price written 4*24 but charged 8*24 - please check.,Orange Biscuit Standard Pack. Price written 4*24 but charged 8*24 - please check.,Olympic Industries Limited,,LS-000353,5.0,5.0,4.0,Biscuits & Cookies,Olympic Industries Limited,,in_stock,24,orange biscuit - standard pack olympic industries limited biscuits & cookies
1 Jar,1 Jar,Olympic Industries Limited,,LS-000354,2.0,350.0,300.0,Chocolates & Candies,Olympic Industries Limited,,in_stock,2,pulse - mango masala olympic industries limited chocolates & candies
1 Jar,1 Jar,Olympic Industries Limited,,LS-000355,2.0,8.0,300.0,Chocolates & Candies,Olympic Industries Limited,,in_stock,2,pulse - mango masala olympic industries limited chocolates & candies
Solecti Cookies Standard Pack. Check the name - delicious cookies.,Solecti Cookies Standard Pack. Check the name - delicious cookies.,Olympic Industries Limited,,LS-000356,20.0,20.0,16.0,Biscuits & Cookies,Olympic Industries Limited,,in_stock,24,solecti cookies - standard pack olympic industries limited biscuits & cookies
Tip - Family Pack,Tip - Family Pack,Olympic Industries Limited,,LS-000357,60.0,60.0,50.0,Biscuits & Cookies,Olympic Industries Limited,,in_stock,8,tip - family pack olympic industries limited biscuits & cookies
Tip -Standard Pack,Tip -Standard Pack,Olympic Industries Limited,,LS-000358,15.0,15.0,13.0,Biscuits & Cookies,Olympic Industries Limited,,in_stock,24,tip -standard pack olympic industries limited biscuits & cookies
1 Jar,1 Jar,Olympic Industries Limited,,LS-000359,450.0,450.0,393.0,Chocolates & Candies,Olympic Industries Limited,,in_stock,2,toffeeto chocolate olympic industries limited chocolates & candies
Volt Pencil Battery UM-3,Volt Pencil Battery UM-3,Olympic Industries Limited,,LS-000360,20.0,20.0,14.0,Electronics,Olympic Industries Limited,https://chaldn.com/_mpimage/olympic-volt-pencil-battery-metallic-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95522&q=best&v=1&m=400&webp=1,in_stock,60,volt pencil battery um-3 olympic industries limited electronics
Volt Pencil Battery UM-4,Volt Pencil Battery UM-4,Olympic Industries Limited,,LS-000361,30.0,30.0,24.0,Electronics,Olympic Industries Limited,https://chaldn.com/_mpimage/olympic-volt-pencil-battery-metallic-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95522&q=best&v=1&m=400&webp=1,in_stock,25,volt pencil battery um-4 olympic industries limited electronics
1KG Bag,1KG Bag,Rupchanda,,LS-000362,400.0,400.0,330.0,Rice & Grain,Rupchanda - SS Trade International,,in_stock,6,fortune basmati rice 1kg rupchanda rice & grain
Fortune Mustard Oil 1L,Fortune Mustard Oil 1L,Rupchanda,,LS-000363,350.0,350.0,296.0,Oil,Rupchanda - SS Trade International,,in_stock,3,fortune mustard oil 1l rupchanda oil
Fortune Mustard Oil 5L,Fortune Mustard Oil 5L,Rupchanda,,LS-000364,1200.0,1200.0,1100.0,Oil,Rupchanda - SS Trade International,,in_stock,1,fortune mustard oil 5l rupchanda oil
2L,2L,Rupchanda,,LS-000365,458.0,458.0,434.0,Oil,Rupchanda - SS Trade International,,in_stock,0,fortune rice bran oil 2l rupchanda oil
5L,5L,Rupchanda,,LS-000366,1120.0,1120.0,1095.0,Oil,Rupchanda - SS Trade International,,in_stock,0,fortune rice bran oil 5l rupchanda oil
Kings Pure Sunflower Oil 2L. Pure and healthy sunflower oil.,Kings Pure Sunflower Oil 2L. Pure and healthy sunflower oil.,Rupchanda,,LS-000367,800.0,800.0,710.0,Oil,Rupchanda - SS Trade International,,in_stock,1,kings pure sunflower oil 2l rupchanda oil
1KG Bag,1KG Bag,Rupchanda,,LS-000368,175.0,175.0,148.0,Rice & Grain,Rupchanda - SS Trade International,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94e8115075f231ec55c0_Rupchanda-Chinigura-Rice-1kg_1_415.webp,in_stock,6,rupchanda chinigura rice 1kg rupchanda rice & grain
1L,1L,Rupchanda,,LS-000369,195.0,195.0,189.0,Oil,Rupchanda - SS Trade International,,in_stock,2,rupchanda soyabean oil 1l rupchanda oil
2L,2L,Rupchanda,,LS-000370,390.0,390.0,384.0,Oil,Rupchanda - SS Trade International,,in_stock,0,rupchanda soyabean oil 2l rupchanda oil
5L,5L,Rupchanda,,LS-000371,955.0,955.0,940.0,Oil,Rupchanda - SS Trade International,,in_stock,0,rupchanda soyabean oil 5l rupchanda oil
50KG Bag,50KG Bag,S.M Enterprise (Pahartali),,LS-000372,165.0,165.0,137.0,Rice & Grain,S.M Enterprise (Pahartali) ,,in_stock,6,aci chinigura 50kg loose s.m enterprise (pahartali) rice & grain
25KG Bag,25KG Bag,S.M Enterprise (Pahartali),,LS-000373,100.0,100.0,75.4,Rice & Grain,S.M Enterprise (Pahartali) ,,in_stock,50,basmati (golden) banglamoti loose s.m enterprise (pahartali) rice & grain
50KG Bag,50KG Bag,S.M Enterprise (Pahartali),,LS-000374,86.0,86.0,80.4,Rice & Grain,S.M Enterprise (Pahartali) ,,in_stock,6,jirashail (nobanno) loose s.m enterprise (pahartali) rice & grain
25KG Bag,25KG Bag,S.M Enterprise (Pahartali),,LS-000375,2150.0,2150.0,2020.0,Rice & Grain,S.M Enterprise (Pahartali) ,,in_stock,50,jirashail 25kg (nobanno) s.m enterprise (pahartali) rice & grain
25KG Bag,25KG Bag,S.M Enterprise (Pahartali),,LS-000376,2150.0,86.0,2020.0,Rice & Grain,S.M Enterprise (Pahartali) ,,in_stock,50,jirashail 25kg (nobanno) s.m enterprise (pahartali) rice & grain
"Katari Atob (Rahman) Loose is a premium Bangladeshi atob rice selected for everyday family cooking and bulk food service use. This 50KG loose sack contains medium-grain rice with a clean natural aroma, bright color, and consistent grain quality for regular meals. When washed and cooked properly, the rice gives soft fluffy texture, balanced moisture, and pleasant taste suitable for plain rice, bhat, khichuri, and traditional home recipes. Packed from trusted local sourcing under S.M Enterprise (Pahartali), it is a practical value choice for households, restaurants, and small catering operations that need dependable quality and stable cooking results.","Katari Atob (Rahman) Loose is a premium Bangladeshi atob rice selected for everyday family cooking and bulk food service use. This 50KG loose sack contains medium-grain rice with a clean natural aroma, bright color, and consistent grain quality for regular meals. When washed and cooked properly, the rice gives soft fluffy texture, balanced moisture, and pleasant taste suitable for plain rice, bhat, khichuri, and traditional home recipes. Packed from trusted local sourcing under S.M Enterprise (Pahartali), it is a practical value choice for households, restaurants, and small catering operations that need dependable quality and stable cooking results.",S.M Enterprise (Pahartali),,LS-000377,89.0,89.0,86.6,Rice & Grain,S.M Enterprise (Pahartali) ,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=1200&q=80,in_stock,0,katari atob (rahman) loose s.m enterprise (pahartali) rice & grain
25KG Bag,25KG Bag,S.M Enterprise (Pahartali),,LS-000378,2200.0,2200.0,2175.0,Rice & Grain,S.M Enterprise (Pahartali) ,,in_stock,50,katari atob 25kg (rahman) s.m enterprise (pahartali) rice & grain
50KG Bag,50KG Bag,S.M Enterprise (Pahartali),,LS-000379,87.0,87.0,82.4,Rice & Grain,S.M Enterprise (Pahartali) ,,in_stock,6,katari c (nobanno) loose s.m enterprise (pahartali) rice & grain
25KG Bag,25KG Bag,S.M Enterprise (Pahartali),,LS-000380,2175.0,2175.0,2070.0,Rice & Grain,S.M Enterprise (Pahartali) ,,in_stock,50,katari c 25kg (nobanno) s.m enterprise (pahartali) rice & grain
50KG Bag,50KG Bag,S.M Enterprise (Pahartali),,LS-000381,71.0,71.0,64.0,Rice & Grain,S.M Enterprise (Pahartali) ,,in_stock,6,miniket atob (shonko) loose s.m enterprise (pahartali) rice & grain
25KG Bag,25KG Bag,S.M Enterprise (Pahartali),,LS-000382,1750.0,1750.0,1610.0,Rice & Grain,S.M Enterprise (Pahartali) ,,in_stock,50,miniket atob 25kg (shonko) s.m enterprise (pahartali) rice & grain
50KG Bag,50KG Bag,S.M Enterprise (Pahartali),,LS-000383,57.0,57.0,52.8,Rice & Grain,S.M Enterprise (Pahartali) ,,in_stock,6,miniket c (nouka) loose s.m enterprise (pahartali) rice & grain
50KG Bag,50KG Bag,S.M Enterprise (Pahartali),,LS-000384,90.0,90.0,86.8,Rice & Grain,S.M Enterprise (Pahartali) ,,in_stock,6,nazirshail (rahman) loose s.m enterprise (pahartali) rice & grain
25KG Bag,25KG Bag,S.M Enterprise (Pahartali),,LS-000385,2200.0,2200.0,2040.0,Rice & Grain,S.M Enterprise (Pahartali) ,,in_stock,50,nazirshail 25kg (rupchanda) s.m enterprise (pahartali) rice & grain
Tea Bag 25g,Tea Bag 25g,Taaza,,LS-000386,170.0,165.0,139.34,Tea & Coffee,TAAZA - ARC DISTRIBUTION,,in_stock,6,honey tea bag 25g taaza tea & coffee
Tea Bag 25g,Tea Bag 25g,Taaza,,LS-000387,160.0,155.0,131.2,Tea & Coffee,TAAZA - ARC DISTRIBUTION,,in_stock,6,lipton pure tea 25g taaza tea & coffee
Taaza 100g,Taaza 100g,Taaza,,LS-000388,60.0,60.8,52.86,Tea & Coffee,TAAZA - ARC DISTRIBUTION,,in_stock,24,taaza 100g taaza tea & coffee
Taaza 400g,Taaza 400g,Taaza,,LS-000389,250.0,250.0,220.26,Tea & Coffee,TAAZA - ARC DISTRIBUTION,,in_stock,12,taaza 400g taaza tea & coffee
Taaza 500g,Taaza 500g,Taaza,,LS-000390,300.0,300.0,264.32,Tea & Coffee,TAAZA - ARC DISTRIBUTION,,in_stock,12,taaza 500g taaza tea & coffee
Taaza 500g 3 star,Taaza 500g 3 star,Taaza,,LS-000391,250.0,250.0,220.26,Tea & Coffee,TAAZA - ARC DISTRIBUTION,,in_stock,12,taaza 500g 3 star taaza tea & coffee
Taaza 50g,Taaza 50g,Taaza,,LS-000392,30.0,29.7,25.75,Tea & Coffee,TAAZA - ARC DISTRIBUTION,,in_stock,48,taaza 50g taaza tea & coffee
Taaza Tea Bag,Taaza Tea Bag,Taaza,,LS-000393,95.0,95.0,86.37,Tea & Coffee,TAAZA - ARC DISTRIBUTION,https://chaldn.com/_mpimage/brooke-bond-taaza-tea-bag-50-pcs-95-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D162456&q=best&v=1&m=400&m=400&webp=1,in_stock,6,taaza tea bag taaza tea & coffee
Powdered Drink 400g,Powdered Drink 400g,Unilever,,LS-000394,550.0,550.0,514.02,Beverages,Unilever - Atlantic Distribition,,in_stock,12,boost standard jar 400g unilever beverages
Shampoo 330ml,Shampoo 330ml,Unilever,,LS-000395,400.0,390.0,347.49,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,clear shampoo anti hair fall 330ml unilever personal care
Shampoo 170ml,Shampoo 170ml,Unilever,,LS-000396,240.0,230.0,207.5,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,clear shampoo complete active care 170ml unilever personal care
Shampoo 330ml,Shampoo 330ml,Unilever,,LS-000397,400.0,390.0,347.4,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,clear shampoo complete active care 330ml unilever personal care
Shampoo 5.5ml,Shampoo 5.5ml,Unilever,,LS-000398,4.0,4.0,3.43,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,clear shampoo complete active care 5.5ml unilever personal care
Shampoo 170ml,Shampoo 170ml,Unilever,,LS-000399,270.0,260.0,230.49,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,clear shampoo cool sport menthol 170ml unilever personal care
Shampoo 330ml,Shampoo 330ml,Unilever,,LS-000400,500.0,490.0,425.82,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,clear shampoo cool sport menthol 330ml unilever personal care
