name,description,brand,gtin,barcode,price,sale_price,cost,category,supplier,image_url,availability,quantity,search_text
Dishwashing Liquid 1L,Dishwashing Liquid 1L,Unilever,,LS-000517,240.0,240.0,207.83,Cleaning Supply,Unilever - Atlantic Distribition,https://chaldn.com/_mpimage/vim-dishwashing-liquid-475-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D166720&q=best&v=1&m=400&webp=1,in_stock,6,vim dish washing liquid 1l unilever cleaning supply
Dishwashing Liquid 200ml,Dishwashing Liquid 200ml,Unilever,,LS-000518,50.0,50.0,44.23,Cleaning Supply,Unilever - Atlantic Distribition,https://chaldn.com/_mpimage/rin-washing-liquid-800-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D165145&q=best&v=1&m=400&webp=1,in_stock,36,vim dish washing liquid 200ml unilever cleaning supply
Dishwashing Liquid 475ml,Dishwashing Liquid 475ml,Unilever,,LS-000519,130.0,130.0,115.0,Cleaning Supply,Unilever - Atlantic Distribition,https://chaldn.com/_mpimage/rin-washing-liquid-800-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D165145&q=best&v=1&m=400&webp=1,in_stock,24,vim dish washing liquid 475ml unilever cleaning supply
Dishwashing Powder 500g,Dishwashing Powder 500g,Unilever,,LS-000520,50.0,50.0,45.0,Cleaning Supply,Unilever - Atlantic Distribition,,in_stock,12,vim dish washing powder 500g unilever cleaning supply
Laundry Soap 200g,Laundry Soap 200g,Unilever,,LS-000521,30.0,28.5,27.55,Cleaning Supply,Unilever - Atlantic Distribition,,in_stock,4,wheel fabric solutions clean and fresh 200g unilever cleaning supply
rice,rice,Unilever,,LS-000522,30.0,28.5,26.55,Cleaning Supply,Unilever - Atlantic Distribition,,in_stock,13,wheel fabric solutions laundry soap 125g unilever cleaning supply
,,Unknown,,LS-000523,300.0,295.0,230.0,Air Freshner,GODREJ,,,0,aer room spray unknown air freshner
,,Unknown,,LS-000524,80.0,80.0,63.0,Cleaning Supply,,,,0,bashundhara kitchen towel unknown cleaning supply
,,Unknown,,LS-000525,225.0,225.0,202.5,Personal Care,,,,0,detol bodywash unknown personal care
,,Unknown,,LS-000526,20.0,20.0,17.25,Snacks,DIPLOMA - NEXT ASSOCIATES,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa96a0d61902ef2307b463_Doodles-Chicken-Stick-Noodles-300gm_1_415.webp,,0,doodles stick noodles 150g unknown snacks
,,Unknown,,LS-000527,150.0,135.0,126.0,Biscuits & Cookies,Olympic Industries Limited,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa96c7d61902ef2307b62f_Dan-Cake-Dry-Cake-300gm_1_415.webp,,0,dry cake unknown biscuits & cookies
,,Unknown,,LS-000528,85.0,85.0,75.0,Oil,Rupchanda - SS Trade International,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6819e5474627ed704a3a180f_Ifad-Mustard-Oil-250ml_1_415.webp,,0,fortune mustard oil 250ml unknown oil
,,Unknown,,LS-000529,35.0,35.0,27.0,Oil,Rupchanda - SS Trade International,,,0,fortune mustard oil 80ml unknown oil
,,Unknown,,LS-000530,650.0,650.0,615.0,Baby Care,,,,0,lactogen 1350g unknown baby care
,,Unknown,,LS-000531,520.0,520.0,490.0,Baby Care,,,,0,nido 3+ 350g bib unknown baby care
,,Unknown,,LS-000532,450.0,450.0,418.0,Baby Care,,,,0,nido fortigo 350g unknown baby care
,,Unknown,,LS-000533,60.0,60.0,50.0,Beverages,,,,0,nutrilife can unknown beverages
,,Unknown,,LS-000534,45.0,45.0,36.0,Beverages,,,,0,nutrilife orange juice 160ml unknown beverages
,,Unknown,,LS-000535,50.0,50.0,41.0,Spices ,,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95b1115075f231ecc8ee_Radhuni-Chotpoti-Masala-50gm_1_415.webp,,0,radhuni chotpoti masala 50gm unknown spices
,,Unknown,,LS-000536,110.0,105.0,95.0,Spices ,,,,0,radhuni dhoniya gura 200gm unknown spices
,,Unknown,,LS-000537,130.0,125.0,105.6,Chocolates & Candies,,,,0,sneakers unknown chocolates & candies
,,Unknown,,LS-000538,400.0,0.0,333.33,Cleaning Supply,Unilever - Atlantic Distribition,https://chaldn.com/_mpimage/surf-excel-matic-liquid-detergent-top-load-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168972&q=best&v=1&m=400&m=400&webp=1,,0,surf excel matic liquid top 1l unknown cleaning supply
,,Unknown,,LS-000539,250.0,250.0,215.0,Chocolates & Candies,,,,0,⁠dairy milk hazelnut 54gm unknown chocolates & candies
