sku,barcode,name,category,cost,mrp,price,stock,store_id
LS-000082,2000000000824,Bashundhara Hand Towel 250 Poly,Personal Care,80.0,105,105.0,12,
LS-000083,2000000000831,Bashundhara Hand Towel White 150pcs,Personal Care,33.5,55,55.0,12,
LS-000084,2000000000848,Bashundhara Paper Napkin 100 sheets,Personal Care,55.0,75,75.0,30,
LS-000085,2000000000855,Bashundhara Pocket Tissue Wallet (Per Hanger),Personal Care,7.5,10,10.0,24,
LS-000086,2000000000862,Bashundhara Restaurant Napkin,Personal Care,44.5,62,62.0,30,
LS-000087,2000000000879,Bashundhara Toilet Tissue (Gold),Personal Care,26.0,40,40.0,24,
LS-000088,2000000000886,Bashundhara Toilet Tissue (White),Personal Care,18.5,30,30.0,24,
LS-000089,2000000000893,Cadbury Cocoa Powder Packet - 125g,Baking Needs,80.0,180,180.0,4,
LS-000090,2000000000909,Cake 1L,Ice Cream,420.0,500,500.0,2,
LS-000091,2000000000916,Center Fresh Chewing Gum,Chocolates & Candies,25.0,30,30.0,24,
LS-000092,2000000000923,Cerelac Stage 1 Rice 350g,Baby Care,376.0,400,400.0,1,
LS-000093,2000000000930,Cerelac Stage I Wheat 350g,Baby Care,376.0,400,400.0,1,
LS-000094,2000000000947,Cerelac Stage II Apply Cherry 350g,Baby Care,414.0,440,440.0,1,
LS-000095,2000000000954,Cerelac Stage II Chicken Scoop 350g,Baby Care,414.0,440,440.0,1,
LS-000096,2000000000961,Cerelac Stage III Four Fruit 350g,Baby Care,432.0,460,460.0,1,
LS-000097,2000000000978,Cerelac Stage IV Chicken 350g,Baby Care,453.0,480,480.0,1,
LS-000098,2000000000985,Cerelac Stage V Multifruit 350g,Baby Care,494.0,525,525.0,1,
LS-000099,2000000000992,Cerelace Stage 1 Three Fruits 350g,Baby Care,396.0,420,420.0,1,
LS-000100,2000000001005,Chicken Sticks -1,Snacks,14.16,20,20.0,24,
